category_name,delivery_radius,links
BACK TO SCHOOL,0.20 miles away,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=c9952765-0b59-4113-8ca3-9873b170fc3c
BACK TO SCHOOL,0.20 miles away,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=c9952765-0b59-4113-8ca3-9873b170fc3c
BACK TO SCHOOL,0.20 miles away,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=c9952765-0b59-4113-8ca3-9873b170fc3c
BACK TO SCHOOL,0.20 miles away,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=c9952765-0b59-4113-8ca3-9873b170fc3c
BACK TO SCHOOL,0.20 miles away,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=c9952765-0b59-4113-8ca3-9873b170fc3c
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
BACK TO SCHOOL,0.20 miles away,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=c9952765-0b59-4113-8ca3-9873b170fc3c
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
Pay In-Store Prices,,/menu/Kettering/kettering/4436-asda-kettering/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=210752924&source=top_level&linked_request_uuid=5b748d51-0899-46fb-b7f2-6826185dc270
